Year,Total,Career firefighters,Volunteer firefighters,Fire departments
2011-12-31,1100450.0,344050.0,756400.0,30145.0
2010-12-31,1103300.0,335150.0,768150.0,30125.0
2009-12-31,1148100.0,335950.0,812150.0,30165.0
2008-12-31,1148850.0,321700.0,827150.0,30170.0
2007-12-31,1148500.0,323350.0,825450.0,30185.0
2006-12-31,1140900.0,316950.0,823950.0,30635.0
2005-12-31,1136650.0,313300.0,823350.0,30300.0
2004-12-31,1100750.0,305150.0,795600.0,30400.0
2003-12-31,1096900.0,296850.0,800050.0,30542.0
2002-12-31,1108250.0,291650.0,816600.0,30310.0
2001-12-31,1078300.0,293600.0,784700.0,30020.0
2000-12-31,1064150.0,286800.0,777350.0,30339.0
1999-12-31,1065150.0,279900.0,785250.0,30436.0
1998-12-31,1082500.0,278300.0,804200.0,31114.0
1997-12-31,1079050.0,275700.0,803350.0,30665.0
1996-12-31,1081800.0,266300.0,815500.0,31503.0
1995-12-31,1098850.0,260850.0,838000.0,31197.0
1994-12-31,1073600.0,265700.0,807900.0,30495.0
1993-12-31,1055050.0,259650.0,795400.0,30528.0
1992-12-31,1058300.0,253000.0,805300.0,30562.0
1991-12-31,1033600.0,261800.0,771800.0,30587.0
1990-12-31,1025650.0,253000.0,772650.0,30391.0
1989-12-31,1020700.0,250600.0,770100.0,30135.0
1988-12-31,1040750.0,252500.0,788250.0,30245.0
1987-12-31,1060000.0,243200.0,816800.0,29741.0
1986-12-31,1045950.0,237750.0,808200.0,29840.0
1985-12-31,1077950.0,238500.0,839450.0,28204.0
1984-12-31,1129350.0,231600.0,897750.0,28260.0
1983-12-31,1111200.0,226600.0,884600.0,28227.0
